Name	Gender	Edition	Category	MovieTitle	Director	Date
Roger Deakins	Male	90th Academy Awards	Academy Award for Best Cinematography	Blade Runner 2049	Denis Villeneuve	2018-03-04T00:00:00Z
Richard R. Hoover	Male	90th Academy Awards	Academy Award for Best Visual Effects	Blade Runner 2049	Denis Villeneuve	2018-03-04T00:00:00Z
Gary Rizzo	Male	90th Academy Awards	Academy Award for Best Sound Mixing	Dunkirk	Christopher Nolan	2018-03-04T00:00:00Z
Richard King	Male	90th Academy Awards	Academy Award for Best Sound Editing	Dunkirk	Christopher Nolan	2018-03-04T00:00:00Z
Lee Smith	Male	90th Academy Awards	Academy Award for Best Film Editing	Dunkirk	Christopher Nolan	2018-03-04T00:00:00Z
Sam Rockwell	Male	90th Academy Awards	Academy Award for Best Supporting Actor	"Three Billboards Outside Ebbing, Missouri"	Martin McDonagh	2018-03-04T00:00:00Z
Frances McDormand	Female	90th Academy Awards	Academy Award for Best Actress	"Three Billboards Outside Ebbing, Missouri"	Martin McDonagh	2018-03-04T00:00:00Z
Jordan Peele	Male	90th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Get Out	Jordan Peele	2018-03-04T00:00:00Z
James Ivory	Male	90th Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	Call Me by Your Name	Luca Guadagnino	2018-03-04T00:00:00Z
Paul Denham Austerberry	Male	90th Academy Awards	Academy Award for Best Production Design	The Shape of Water	Guillermo del Toro	2018-03-04T00:00:00Z
Alexandre Desplat	Male	90th Academy Awards	Academy Award for Best Original Score	The Shape of Water	Guillermo del Toro	2018-03-04T00:00:00Z
Guillermo del Toro	Male	90th Academy Awards	Academy Award for Best Director	The Shape of Water	Guillermo del Toro	2018-03-04T00:00:00Z
J. Miles Dale	Male	90th Academy Awards	Academy Award for Best Picture	The Shape of Water	Guillermo del Toro	2018-03-04T00:00:00Z
Gary Oldman	Male	90th Academy Awards	Academy Award for Best Actor	Darkest Hour	Joe Wright	2018-03-04T00:00:00Z
Lucy Sibbick	Female	90th Academy Awards	Academy Award for Best Makeup and Hairstyling	Darkest Hour	Joe Wright	2018-03-04T00:00:00Z
Sebastian Lelio	Male	90th Academy Awards	Academy Award for Best Foreign Language Film	A Fantastic Woman	Sebastian Lelio	2018-03-04T00:00:00Z
Allison Janney	Female	90th Academy Awards	Academy Award for Best Supporting Actress	"I, Tonya"	Craig Gillespie	2018-03-04T00:00:00Z
Mark Bridges	Male	90th Academy Awards	Academy Award for Best Costume Design	Phantom Thread	Paul Thomas Anderson	2018-03-04T00:00:00Z
Dan Cogan	Male	90th Academy Awards	Academy Award for Best Documentary Feature	Icarus	Bryan Fogel	2018-03-04T00:00:00Z
Frank Stiefel	Male	90th Academy Awards	Academy Award for Best Documentary (Short Subject)	Heaven Is a Traffic Jam on the 405	Frank Stiefel	2018-03-04T00:00:00Z
Andrew R. Jones	Male	89th Academy Awards	Academy Award for Best Visual Effects	The Jungle Book	Jon Favreau	2017-02-26T00:00:00Z
Colleen Atwood	Female	89th Academy Awards	Academy Award for Best Costume Design	Fantastic Beasts and Where to Find Them	David Yates	2017-02-26T00:00:00Z
Casey Affleck	Male	89th Academy Awards	Academy Award for Best Actor	Manchester by the Sea	Kenneth Lonergan	2017-02-26T00:00:00Z
Kenneth Lonergan	Male	89th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Manchester by the Sea	Kenneth Lonergan	2017-02-26T00:00:00Z
Sylvain Bellemare	Male	89th Academy Awards	Academy Award for Best Sound Editing	Arrival	Denis Villeneuve	2017-02-26T00:00:00Z
Linus Sandgren	Male	89th Academy Awards	Academy Award for Best Cinematography	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Justin Hurwitz	Male	89th Academy Awards	Academy Award for Best Original Score	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Justin Hurwitz	Male	89th Academy Awards	Academy Award for Best Original Song	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Emma Stone	Female	89th Academy Awards	Academy Award for Best Actress	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Damien Chazelle	Male	89th Academy Awards	Academy Award for Best Director	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Sandy Reynolds-Wasco	Female	89th Academy Awards	Academy Award for Best Production Design	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Robert Mackenzie	Male	89th Academy Awards	Academy Award for Best Sound Mixing	Hacksaw Ridge	Mel Gibson	2017-02-26T00:00:00Z
John Gilbert	Male	89th Academy Awards	Academy Award for Best Film Editing	Hacksaw Ridge	Mel Gibson	2017-02-26T00:00:00Z
Mahershala Ali	Male	89th Academy Awards	Academy Award for Best Supporting Actor	Moonlight	Barry Jenkins	2017-02-26T00:00:00Z
Barry Jenkins	Male	89th Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	Moonlight	Barry Jenkins	2017-02-26T00:00:00Z
Jeremy Kleiner	Male	89th Academy Awards	Academy Award for Best Picture	Moonlight	Barry Jenkins	2017-02-26T00:00:00Z
Asghar Farhadi	Male	89th Academy Awards	Academy Award for Best Foreign Language Film	The Salesman	Asghar Farhadi	2017-02-26T00:00:00Z
Viola Davis	Female	89th Academy Awards	Academy Award for Best Supporting Actress	Fences	Denzel Washington	2017-02-26T00:00:00Z
Anna Udvardy	Female	89th Academy Awards	Academy Award for Best Live Action Short Film	Sing	Kristof Deak	2017-02-26T00:00:00Z
Clark Spencer	Male	89th Academy Awards	Academy Award for Best Animated Feature	Zootopia	Jared Bush	2017-02-26T00:00:00Z
Mark Williams Ardington	Male	88th Academy Awards	Academy Award for Best Visual Effects	Ex Machina	Alex Garland	2016-02-28T00:00:00Z
Emmanuel Lubezki	Male	88th Academy Awards	Academy Award for Best Cinematography	The Revenant	Alejandro Gonzalez Inarritu	2016-02-28T00:00:00Z
Leonardo DiCaprio	Male	88th Academy Awards	Academy Award for Best Actor	The Revenant	Alejandro Gonzalez Inarritu	2016-02-28T00:00:00Z
Alejandro Gonzalez Inarritu	Male	88th Academy Awards	Academy Award for Best Director	The Revenant	Alejandro Gonzalez Inarritu	2016-02-28T00:00:00Z
Mark Rylance	Male	88th Academy Awards	Academy Award for Best Supporting Actor	Bridge of Spies	Steven Spielberg	2016-02-28T00:00:00Z
Steve Golin	Male	88th Academy Awards	Academy Award for Best Picture	Spotlight	Tom McCarthy	2016-02-28T00:00:00Z
Josh Singer	Male	88th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Spotlight	Tom McCarthy	2016-02-28T00:00:00Z
Ennio Morricone	Male	88th Academy Awards	Academy Award for Best Original Score	The Hateful Eight	Quentin Jerome Tarantino	2016-02-28T00:00:00Z
Brie Larson	Female	88th Academy Awards	Academy Award for Best Actress	Room	Lenny Abrahamson	2016-02-28T00:00:00Z
Alicia Vikander	Female	88th Academy Awards	Academy Award for Best Supporting Actress	The Danish Girl	Tom Hooper	2016-02-28T00:00:00Z
James Gay-Rees	Male	88th Academy Awards	Academy Award for Best Documentary Feature	Amy	Asif Kapadia	2016-02-28T00:00:00Z
Laszlo Nemes	Male	88th Academy Awards	Academy Award for Best Foreign Language Film	Son of Saul	Laszlo Nemes	2016-02-28T00:00:00Z
Charles Randolph	Male	88th Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	The Big Short	Adam McKay	2016-02-28T00:00:00Z
Sharmeen Obaid-Chinoy	Female	88th Academy Awards	Academy Award for Best Documentary (Short Subject)	A Girl in the River: The Price of Forgiveness	Sharmeen Obaid-Chinoy	2016-02-28T00:00:00Z
Pato Escala Pierart	Male	88th Academy Awards	Academy Award for Best Animated Short Film	Bear Story	Gabriel Osorio Vargas	2016-02-28T00:00:00Z
Benjamin Cleary	Male	88th Academy Awards	Academy Award for Best Live Action Short Film	Stutterer	Benjamin Cleary	2016-02-28T00:00:00Z
Gregg Rudloff	Male	88th Academy Awards	Academy Award for Best Sound Mixing	Mad Max: Fury Road	George Miller	2016-02-28T00:00:00Z
Colin Gibson	Male	88th Academy Awards	Academy Award for Best Production Design	Mad Max: Fury Road	George Miller	2016-02-28T00:00:00Z
Jenny Beavan	Female	88th Academy Awards	Academy Award for Best Costume Design	Mad Max: Fury Road	George Miller	2016-02-28T00:00:00Z
David White	Male	88th Academy Awards	Academy Award for Best Sound Editing	Mad Max: Fury Road	George Miller	2016-02-28T00:00:00Z
Damian Martin	Male	88th Academy Awards	Academy Award for Best Makeup and Hairstyling	Mad Max: Fury Road	George Miller	2016-02-28T00:00:00Z
Margaret Sixel	Female	88th Academy Awards	Academy Award for Best Film Editing	Mad Max: Fury Road	George Miller	2016-02-28T00:00:00Z
Jonas Rivera	Male	88th Academy Awards	Academy Award for Best Animated Feature	Inside Out	Pete Docter	2016-02-28T00:00:00Z
Julianne Moore	Female	87th Academy Awards	Academy Award for Best Actress	Still Alice	Wash Westmoreland	2015-02-22T00:00:00Z
Kristina Reed	Female	87th Academy Awards	Academy Award for Best Animated Short Film	Feast	Patrick Osborne	2015-02-22T00:00:00Z
Alan Robert Murray	Male	87th Academy Awards	Academy Award for Best Sound Editing	American Sniper	Clint Eastwood	2015-02-22T00:00:00Z
Laura Poitras	Female	87th Academy Awards	Academy Award for Best Documentary Feature	Citizenfour	Laura Poitras	2015-02-22T00:00:00Z
Ellen Goosenberg Kent	Female	87th Academy Awards	Academy Award for Best Documentary (Short Subject)	Crisis Hotline: Veterans Press 1	Ellen Goosenberg Kent	2015-02-22T00:00:00Z
James Lucas	Male	87th Academy Awards	Academy Award for Best Live Action Short Film	The Phone Call	Mat Kirkby	2015-02-22T00:00:00Z
Roy Conli	Male	87th Academy Awards	Academy Award for Best Animated Feature	Big Hero 6	Chris Williams	2015-02-22T00:00:00Z
Emmanuel Lubezki	Male	87th Academy Awards	Academy Award for Best Cinematography	Birdman	Alejandro Gonzalez Inarritu	2015-02-22T00:00:00Z
Alejandro Gonzalez Inarritu	Male	87th Academy Awards	Academy Award for Best Director	Birdman	Alejandro Gonzalez Inarritu	2015-02-22T00:00:00Z
John Lesher	Male	87th Academy Awards	Academy Award for Best Picture	Birdman	Alejandro Gonzalez Inarritu	2015-02-22T00:00:00Z
Alexander Dinelaris Jr.	Male	87th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Birdman	Alejandro Gonzalez Inarritu	2015-02-22T00:00:00Z
Ian Hunter	Male	87th Academy Awards	Academy Award for Best Visual Effects	Interstellar	Christopher Nolan	2015-02-22T00:00:00Z
Graham Moore	Male	87th Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	The Imitation Game	Morten Tyldum	2015-02-22T00:00:00Z
Eddie Redmayne	Male	87th Academy Awards	Academy Award for Best Actor	The Theory of Everything	James Marsh	2015-02-22T00:00:00Z
Pawel Pawlikowski	Male	87th Academy Awards	Academy Award for Best Foreign Language Film	Ida	Pawel Pawlikowski	2015-02-22T00:00:00Z
J. K. Simmons	Male	87th Academy Awards	Academy Award for Best Supporting Actor	Whiplash	Damien Chazelle	2015-02-22T00:00:00Z
Craig Mann	Male	87th Academy Awards	Academy Award for Best Sound Mixing	Whiplash	Damien Chazelle	2015-02-22T00:00:00Z
Tom Cross	Male	87th Academy Awards	Academy Award for Best Film Editing	Whiplash	Damien Chazelle	2015-02-22T00:00:00Z
Anna Pinnock	Female	87th Academy Awards	Academy Award for Best Production Design	The Grand Budapest Hotel	Wes Anderson	2015-02-22T00:00:00Z
Milena Canonero	Female	87th Academy Awards	Academy Award for Best Costume Design	The Grand Budapest Hotel	Wes Anderson	2015-02-22T00:00:00Z
Alexandre Desplat	Male	87th Academy Awards	Academy Award for Best Original Score	The Grand Budapest Hotel	Wes Anderson	2015-02-22T00:00:00Z
Mark Coulier	Male	87th Academy Awards	Academy Award for Best Makeup and Hairstyling	The Grand Budapest Hotel	Wes Anderson	2015-02-22T00:00:00Z
Patricia Arquette	Female	87th Academy Awards	Academy Award for Best Supporting Actress	Boyhood	Richard Linklater	2015-02-22T00:00:00Z
Peter Del Vecho	Female	86th Academy Awards	Academy Award for Best Animated Feature	Frozen	Chris Buck	2014-03-02T00:00:00Z
Spike Jonze	Male	86th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Her	Spike Jonze	2014-03-02T00:00:00Z
Catherine Martin	Female	86th Academy Awards	Academy Award for Best Costume Design	The Great Gatsby	Baz Luhrmann	2014-03-02T00:00:00Z
Catherine Martin	Female	86th Academy Awards	Academy Award for Best Production Design	The Great Gatsby	Baz Luhrmann	2014-03-02T00:00:00Z
Malcolm Clarke	Male	86th Academy Awards	Academy Award for Best Documentary (Short Subject)	The Lady in Number 6	Malcolm Clarke	2014-03-02T00:00:00Z
Anders Walter	Male	86th Academy Awards	Academy Award for Best Live Action Short Film	Helium	Kim Magnusson	2014-03-02T00:00:00Z
Christopher Benstead	Male	86th Academy Awards	Academy Award for Best Sound Mixing	Gravity	Alfonso Cuaron	2014-03-02T00:00:00Z
Emmanuel Lubezki	Male	86th Academy Awards	Academy Award for Best Cinematography	Gravity	Alfonso Cuaron	2014-03-02T00:00:00Z
Glenn Freemantle	Male	86th Academy Awards	Academy Award for Best Sound Editing	Gravity	Alfonso Cuaron	2014-03-02T00:00:00Z
Steven Price	Male	86th Academy Awards	Academy Award for Best Original Score	Gravity	Alfonso Cuaron	2014-03-02T00:00:00Z
Dave Shirk	Male	86th Academy Awards	Academy Award for Best Visual Effects	Gravity	Alfonso Cuaron	2014-03-02T00:00:00Z
Mark Sanger	Male	86th Academy Awards	Academy Award for Best Film Editing	Gravity	Alfonso Cuaron	2014-03-02T00:00:00Z
Alfonso Cuaron	Male	86th Academy Awards	Academy Award for Best Director	Gravity	Alfonso Cuaron	2014-03-02T00:00:00Z
Cate Blanchett	Female	86th Academy Awards	Academy Award for Best Actress	Blue Jasmine	Woody Allen	2014-03-02T00:00:00Z
Paolo Sorrentino	Male	86th Academy Awards	Academy Award for Best Foreign Language Film	The Great Beauty	Paolo Sorrentino	2014-03-02T00:00:00Z
Morgan Neville	Male	86th Academy Awards	Academy Award for Best Documentary Feature	20 Feet from Stardom	Morgan Neville	2014-03-02T00:00:00Z
Alexandre Espigares	Male	86th Academy Awards	Academy Award for Best Animated Short Film	Mr Hublot	Laurent Witz	2014-03-02T00:00:00Z
Lupita Nyong'o	Female	86th Academy Awards	Academy Award for Best Supporting Actress	12 Years a Slave	Steve McQueen	2014-03-02T00:00:00Z
John Ridley	Male	86th Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	12 Years a Slave	Steve McQueen	2014-03-02T00:00:00Z
Jeremy Kleiner	Male	86th Academy Awards	Academy Award for Best Picture	12 Years a Slave	Steve McQueen	2014-03-02T00:00:00Z
Jared Leto	Male	86th Academy Awards	Academy Award for Best Supporting Actor	Dallas Buyers Club	Jean-Marc Vallee	2014-03-02T00:00:00Z
Matthew McConaughey	Male	86th Academy Awards	Academy Award for Best Actor	Dallas Buyers Club	Jean-Marc Vallee	2014-03-02T00:00:00Z
Robin Mathews	Female	86th Academy Awards	Academy Award for Best Makeup and Hairstyling	Dallas Buyers Club	Jean-Marc Vallee	2014-03-02T00:00:00Z
Michael Haneke	Male	85th Academy Awards	Academy Award for Best Foreign Language Film	Amour	Michael Haneke	2013-02-24T00:00:00Z
Quentin Jerome Tarantino	Male	85th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Django Unchained	Quentin Jerome Tarantino	2013-02-24T00:00:00Z
Christoph Waltz	Male	85th Academy Awards	Academy Award for Best Supporting Actor	Django Unchained	Quentin Jerome Tarantino	2013-02-24T00:00:00Z
Mark Andrews	Male	85th Academy Awards	Academy Award for Best Animated Feature	Brave	Brenda Chapman	2013-02-24T00:00:00Z
Jennifer Lawrence	Female	85th Academy Awards	Academy Award for Best Actress	Silver Linings Playbook	David O. Russell	2013-02-24T00:00:00Z
Jacqueline Durran	Female	85th Academy Awards	Academy Award for Best Costume Design	Anna Karenina	Joe Wright	2013-02-24T00:00:00Z
Ben Affleck	Male	85th Academy Awards	Academy Award for Best Picture	Argo	Ben Affleck	2013-02-24T00:00:00Z
William Goldenberg	Male	85th Academy Awards	Academy Award for Best Film Editing	Argo	Ben Affleck	2013-02-24T00:00:00Z
Chris Terrio	Male	85th Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	Argo	Ben Affleck	2013-02-24T00:00:00Z
Daniel Day-Lewis	Male	85th Academy Awards	Academy Award for Best Actor	Lincoln	Steven Spielberg	2013-02-24T00:00:00Z
Rick Carter	Male	85th Academy Awards	Academy Award for Best Production Design	Lincoln	Steven Spielberg	2013-02-24T00:00:00Z
Lisa Westcott	Female	85th Academy Awards	Academy Award for Best Makeup and Hairstyling	Les Miserables	Tom Hooper	2013-02-24T00:00:00Z
Mark Paterson	Male	85th Academy Awards	Academy Award for Best Sound Mixing	Les Miserables	Tom Hooper	2013-02-24T00:00:00Z
Anne Hathaway	Female	85th Academy Awards	Academy Award for Best Supporting Actress	Les Miserables	Tom Hooper	2013-02-24T00:00:00Z
Ang Lee	Male	85th Academy Awards	Academy Award for Best Director	Life of Pi	Ang Lee	2013-02-24T00:00:00Z
Donald R. Elliott	Male	85th Academy Awards	Academy Award for Best Visual Effects	Life of Pi	Ang Lee	2013-02-24T00:00:00Z
Mychael Danna	Male	85th Academy Awards	Academy Award for Best Original Score	Life of Pi	Ang Lee	2013-02-24T00:00:00Z
Claudio Miranda	Male	85th Academy Awards	Academy Award for Best Cinematography	Life of Pi	Ang Lee	2013-02-24T00:00:00Z
Paul N. J. Ottosson	Male	85th Academy Awards	Academy Award for Best Sound Editing	Zero Dark Thirty	Kathryn Bigelow	2013-02-24T00:00:00Z
Karen Baker Landers	Female	85th Academy Awards	Academy Award for Best Sound Editing	Skyfall	Sam Mendes	2013-02-24T00:00:00Z
John Kahrs	Male	85th Academy Awards	Academy Award for Best Animated Short Film	Paperman	John Kahrs	2013-02-24T00:00:00Z
Shawn Christensen	Male	85th Academy Awards	Academy Award for Best Live Action Short Film	Curfew	Shawn Christensen	2013-02-24T00:00:00Z
Sean Fine	Male	85th Academy Awards	Academy Award for Best Documentary (Short Subject)	Inocente	Sean Fine	2013-02-24T00:00:00Z
Asghar Farhadi	Male	84th Academy Awards	Academy Award for Best Foreign Language Film	A Separation	Asghar Farhadi	2012-02-26T00:00:00Z
Angus Wall	Male	84th Academy Awards	Academy Award for Best Film Editing	The Girl with the Dragon Tattoo	David Fincher	2012-02-26T00:00:00Z
Gore Verbinski	Male	84th Academy Awards	Academy Award for Best Animated Feature	Rango	Gore Verbinski	2012-02-26T00:00:00Z
Jim Rash	Male	84th Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	The Descendants	Alexander Payne	2012-02-26T00:00:00Z
Meryl Streep	Female	84th Academy Awards	Academy Award for Best Actress	The Iron Lady	Phyllida Lloyd	2012-02-26T00:00:00Z
Mark Coulier	Male	84th Academy Awards	Academy Award for Best Makeup and Hairstyling	The Iron Lady	Phyllida Lloyd	2012-02-26T00:00:00Z
Terry George	Male	84th Academy Awards	Academy Award for Best Live Action Short Film	The Shore	Terry George	2012-02-26T00:00:00Z
Thomas Langmann	Male	84th Academy Awards	Academy Award for Best Picture	The Artist	Michel Hazanavicius	2012-02-26T00:00:00Z
Michel Hazanavicius	Male	84th Academy Awards	Academy Award for Best Director	The Artist	Michel Hazanavicius	2012-02-26T00:00:00Z
Ludovic Bource	Male	84th Academy Awards	Academy Award for Best Original Score	The Artist	Michel Hazanavicius	2012-02-26T00:00:00Z
Jean Dujardin	Male	84th Academy Awards	Academy Award for Best Actor	The Artist	Michel Hazanavicius	2012-02-26T00:00:00Z
Mark Bridges	Male	84th Academy Awards	Academy Award for Best Costume Design	The Artist	Michel Hazanavicius	2012-02-26T00:00:00Z
Joss Williams	Male	84th Academy Awards	Academy Award for Best Visual Effects	Hugo	Martin Scorsese	2012-02-26T00:00:00Z
Robert Richardson	Male	84th Academy Awards	Academy Award for Best Cinematography	Hugo	Martin Scorsese	2012-02-26T00:00:00Z
Philip Stockton	Male	84th Academy Awards	Academy Award for Best Sound Editing	Hugo	Martin Scorsese	2012-02-26T00:00:00Z
Dante Ferretti	Male	84th Academy Awards	Academy Award for Best Production Design	Hugo	Martin Scorsese	2012-02-26T00:00:00Z
Tom Fleischman	Male	84th Academy Awards	Academy Award for Best Sound Mixing	Hugo	Martin Scorsese	2012-02-26T00:00:00Z
Woody Allen	Male	84th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Midnight in Paris	Woody Allen	2012-02-26T00:00:00Z
Octavia Spencer	Female	84th Academy Awards	Academy Award for Best Supporting Actress	The Help	Tate Taylor	2012-02-26T00:00:00Z
Daniel Junge	Male	84th Academy Awards	Academy Award for Best Documentary (Short Subject)	Saving Face	Sharmeen Obaid-Chinoy	2012-02-26T00:00:00Z
Daniel Lindsay	Male	84th Academy Awards	Academy Award for Best Documentary Feature	Undefeated	Daniel Lindsay	2012-02-26T00:00:00Z
Christopher Plummer	Male	84th Academy Awards	Academy Award for Best Supporting Actor	Beginners	Mike Mills	2012-02-26T00:00:00Z
William Joyce	Male	84th Academy Awards	Academy Award for Best Animated Short Film	The Fantastic Flying Books of Mr. Morris Lessmore	William Joyce	2012-02-26T00:00:00Z
Charles Ferguson	Male	83rd Academy Awards	Academy Award for Best Documentary Feature	Inside Job	Charles Ferguson	2011-02-27T00:00:00Z
Lee Unkrich	Male	83rd Academy Awards	Academy Award for Best Animated Feature	Toy Story 3	Lee Unkrich	2011-02-27T00:00:00Z
Angus Wall	Male	83rd Academy Awards	Academy Award for Best Film Editing	The Social Network	David Fincher	2011-02-27T00:00:00Z
Aaron Sorkin	Male	83rd Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	The Social Network	David Fincher	2011-02-27T00:00:00Z
Atticus Ross	Male	83rd Academy Awards	Academy Award for Best Original Score	The Social Network	David Fincher	2011-02-27T00:00:00Z
Natalie Portman	Female	83rd Academy Awards	Academy Award for Best Actress	Black Swan	Darren Aronofsky	2011-02-27T00:00:00Z
Colleen Atwood	Female	83rd Academy Awards	Academy Award for Best Costume Design	Alice in Wonderland	Tim Burton	2011-02-27T00:00:00Z
Robert Stromberg	Male	83rd Academy Awards	Academy Award for Best Production Design	Alice in Wonderland	Tim Burton	2011-02-27T00:00:00Z
David Seidler	Male	83rd Academy Awards	"Academy Award for Best Writing, Original Screenplay"	The King's Speech	Tom Hooper	2011-02-27T00:00:00Z
Emile Sherman	Male	83rd Academy Awards	Academy Award for Best Picture	The King's Speech	Tom Hooper	2011-02-27T00:00:00Z
Tom Hooper	Male	83rd Academy Awards	Academy Award for Best Director	The King's Speech	Tom Hooper	2011-02-27T00:00:00Z
Colin Firth	Male	83rd Academy Awards	Academy Award for Best Actor	The King's Speech	Tom Hooper	2011-02-27T00:00:00Z
Christian Bale	Male	83rd Academy Awards	Academy Award for Best Supporting Actor	The Fighter	David O. Russell	2011-02-27T00:00:00Z
Melissa Leo	Female	83rd Academy Awards	Academy Award for Best Supporting Actress	The Fighter	David O. Russell	2011-02-27T00:00:00Z
Dave Elsey	Male	83rd Academy Awards	Academy Award for Best Makeup and Hairstyling	The Wolfman	Joe Johnston	2011-02-27T00:00:00Z
Susanne Bier	Female	83rd Academy Awards	Academy Award for Best Foreign Language Film	In a Better World	Susanne Bier	2011-02-27T00:00:00Z
Gary Rizzo	Male	83rd Academy Awards	Academy Award for Best Sound Mixing	Inception	Christopher Nolan	2011-02-27T00:00:00Z
Wally Pfister	Male	83rd Academy Awards	Academy Award for Best Cinematography	Inception	Christopher Nolan	2011-02-27T00:00:00Z
Richard King	Male	83rd Academy Awards	Academy Award for Best Sound Editing	Inception	Christopher Nolan	2011-02-27T00:00:00Z
Paul Franklin	Male	83rd Academy Awards	Academy Award for Best Visual Effects	Inception	Christopher Nolan	2011-02-27T00:00:00Z
Luke Matheny	Male	83rd Academy Awards	Academy Award for Best Live Action Short Film	God of Love	Luke Matheny	2011-02-27T00:00:00Z
Kirk Simon	Male	83rd Academy Awards	Academy Award for Best Documentary (Short Subject)	Strangers No More	Karen Goodman	2011-02-27T00:00:00Z
Shaun Tan	Male	83rd Academy Awards	Academy Award for Best Animated Short Film	The Lost Thing	Andrew Ruhemann	2011-02-27T00:00:00Z
Geoffrey S. Fletcher	Male	82nd Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	Precious	Lee Daniels	2010-03-07T00:00:00Z
Mo'Nique	Female	82nd Academy Awards	Academy Award for Best Supporting Actress	Precious	Lee Daniels	2010-03-07T00:00:00Z
Joel Harlow	Male	82nd Academy Awards	Academy Award for Best Makeup and Hairstyling	Star Trek	J. J. Abrams	2010-03-07T00:00:00Z
Mark Boal	Male	82nd Academy Awards	"Academy Award for Best Writing, Original Screenplay"	The Hurt Locker	Kathryn Bigelow	2010-03-07T00:00:00Z
Greg Shapiro	Male	82nd Academy Awards	Academy Award for Best Picture	The Hurt Locker	Kathryn Bigelow	2010-03-07T00:00:00Z
Kathryn Bigelow	Female	82nd Academy Awards	Academy Award for Best Director	The Hurt Locker	Kathryn Bigelow	2010-03-07T00:00:00Z
Chris Innis	Male	82nd Academy Awards	Academy Award for Best Film Editing	The Hurt Locker	Kathryn Bigelow	2010-03-07T00:00:00Z
Paul N. J. Ottosson	Male	82nd Academy Awards	Academy Award for Best Sound Editing	The Hurt Locker	Kathryn Bigelow	2010-03-07T00:00:00Z
Ray Beckett	Male	82nd Academy Awards	Academy Award for Best Sound Mixing	The Hurt Locker	Kathryn Bigelow	2010-03-07T00:00:00Z
Michael Giacchino	Male	82nd Academy Awards	Academy Award for Best Original Score	Up	Pete Docter	2010-03-07T00:00:00Z
Pete Docter	Male	82nd Academy Awards	Academy Award for Best Animated Feature	Up	Pete Docter	2010-03-07T00:00:00Z
Christoph Waltz	Male	82nd Academy Awards	Academy Award for Best Supporting Actor	Inglourious Basterds	Quentin Jerome Tarantino	2010-03-07T00:00:00Z
Sandra Bullock	Female	82nd Academy Awards	Academy Award for Best Actress	The Blind Side	John Lee Hancock	2010-03-07T00:00:00Z
Louie Psihoyos	Male	82nd Academy Awards	Academy Award for Best Documentary Feature	The Cove	Louie Psihoyos	2010-03-07T00:00:00Z
Jeff Bridges	Male	82nd Academy Awards	Academy Award for Best Actor	Crazy Heart	Scott Cooper	2010-03-07T00:00:00Z
Juan J. Campanella	Male	82nd Academy Awards	Academy Award for Best Foreign Language Film	The Secret in Their Eyes	Juan J. Campanella	2010-03-07T00:00:00Z
Sandy Powell	Female	82nd Academy Awards	Academy Award for Best Costume Design	The Young Victoria	Jean-Marc Vallee	2010-03-07T00:00:00Z
Kim Sinclair	Female	82nd Academy Awards	Academy Award for Best Production Design	Avatar	James Cameron	2010-03-07T00:00:00Z
Mauro Fiore	Male	82nd Academy Awards	Academy Award for Best Cinematography	Avatar	James Cameron	2010-03-07T00:00:00Z
Andrew R. Jones	Male	82nd Academy Awards	Academy Award for Best Visual Effects	Avatar	James Cameron	2010-03-07T00:00:00Z
Roger Ross Williams	Male	82nd Academy Awards	Academy Award for Best Documentary (Short Subject)	Music by Prudence	Roger Ross Williams	2010-03-07T00:00:00Z
Joachim Back	Male	82nd Academy Awards	Academy Award for Best Live Action Short Film	The New Tenants	Joachim Back	2010-03-07T00:00:00Z
Michael O'Connor	Male	81st Academy Awards	Academy Award for Best Costume Design	The Duchess	Saul Dibb	2009-02-22T00:00:00Z
Jochen Alexander Freydank	Male	81st Academy Awards	Academy Award for Best Live Action Short Film	Toyland	Jochen Alexander Freydank	2009-02-22T00:00:00Z
Danny Boyle	Male	81st Academy Awards	Academy Award for Best Director	Slumdog Millionaire	Danny Boyle	2009-02-22T00:00:00Z
Christian Colson	Male	81st Academy Awards	Academy Award for Best Picture	Slumdog Millionaire	Danny Boyle	2009-02-22T00:00:00Z
